date,product,region,revenue,units_sold,customer_age,satisfaction_score,return_rate,marketing_spend,channel
2025-01-25,Aura Pro,Europe,10013.20,62,38,3.6,0.013,1034.63,Direct
2025-01-26,Aura Basic,Latin America,2949.98,56,55,4.4,0.076,399.72,Organic
2025-01-27,Aura Basic,Asia Pacific,869.06,15,57,4.2,0.051000000000000004,59.28,Paid Search
2025-01-28,Aura Enterprise,North America,575.35,1,36,3.9,0.023,52.86,Organic
2025-01-29,Aura Basic,Asia Pacific,584.32,11,49,3.8,0.078,58.79,Organic
2025-01-30,Aura Pro,Latin America,12905.35,91,62,3.6,0.04,1897.85,Direct
2025-01-31,Nexus Add-on,Asia Pacific,1036.82,40,35,4.4,0.021,65.61,Direct
2025-02-01,Aura Enterprise,Asia Pacific,1048.78,2,38,4.4,0.027,97.76,Organic
2025-02-02,Aura Basic,Asia Pacific,2703.57,53,52,4.4,0.055,263.16,Partner
2025-02-03,Nexus Add-on,Asia Pacific,574.22,24,28,4.9,0.032,69.84,Partner
2025-02-04,Nexus Add-on,Europe,565.83,25,40,3.5,0.033,48.36,Partner
2025-02-05,Aura Pro,North America,12902.82,75,50,4.6,0.017,1591.01,Organic
2025-02-06,Aura Basic,Europe,5079.97,94,62,3.6,0.075,355.46,Organic
2025-02-07,Nexus Add-on,Asia Pacific,1422.03,52,40,4.9,0.039,128.43,Paid Search
2025-02-08,Nexus Add-on,North America,1413.94,47,28,4.5,0.027,137.43,Paid Search
2025-02-09,Aura Enterprise,Asia Pacific,3502.13,6,31,4.6,0.012,274.98,Paid Search
2025-02-10,Aura Enterprise,North America,2393.87,4,54,4.0,0.012,263.35,Partner
2025-02-11,Aura Basic,Europe,4578.66,91,40,4.1,0.076,626.33,Direct
2025-02-12,Aura Basic,Asia Pacific,2285.81,46,64,3.8,0.055999999999999994,262.77,Organic
2025-02-13,Aura Enterprise,Europe,1462.38,3,60,4.4,0.032,201.48,Partner
2025-02-14,Aura Basic,Asia Pacific,1848.92,38,36,4.9,0.07100000000000001,254.52,Partner
2025-02-15,Aura Pro,Latin America,6693.98,42,47,4.4,0.028,529.95,Partner
2025-02-16,Aura Basic,Europe,4638.65,88,58,4.6,0.057999999999999996,256.96,Direct
2025-02-17,Aura Pro,Latin America,8116.40,51,63,4.0,,702.21,Organic
2025-02-18,Aura Enterprise,North America,5043.75,9,33,3.7,0.035,333.43,Organic
2025-02-19,Aura Pro,North America,16375.75,87,54,5.0,0.02,1915.62,Partner
2025-02-20,Aura Enterprise,Europe,541.97,1,30,5.0,0.039,28.30,Organic
2025-02-21,Aura Enterprise,North America,541.93,1,60,4.6,0.02,55.77,Partner
2025-02-22,Nexus Add-on,Asia Pacific,859.24,38,21,4.4,0.049,122.02,Partner
2025-02-23,Aura Pro,North America,7510.90,41,38,3.5,0.023,1025.64,Organic
2025-02-24,Aura Pro,Asia Pacific,1989.94,14,34,4.9,0.047,202.08,Partner
2025-02-25,Nexus Add-on,North America,1141.46,37,20,3.8,0.017,152.05,Partner
2025-02-26,Aura Enterprise,North America,605.80,1,27,3.9,0.014,90.26,Paid Search
2025-02-27,Aura Basic,North America,4501.45,77,45,3.8,0.061,260.92,Organic
2025-02-28,Aura Enterprise,Europe,4713.99,10,38,4.0,0.033,510.81,Organic
2025-03-01,Aura Pro,North America,12325.44,74,65,4.0,0.011,949.55,Direct
2025-03-02,Nexus Add-on,Asia Pacific,1782.97,63,41,3.6,0.049,251.51,Paid Search
2025-03-03,Nexus Add-on,Latin America,1203.81,47,18,5.0,,130.10,Organic
2025-03-04,Aura Pro,Europe,3345.69,21,62,4.1,,377.33,Partner
2025-03-05,Aura Basic,Latin America,1685.98,31,41,4.1,0.078,239.42,Partner
2025-03-06,Aura Enterprise,Europe,946.46,2,30,4.4,0.033,60.68,Organic
2025-03-07,Nexus Add-on,North America,1919.17,67,44,3.6,0.028,132.01,Organic
2025-03-08,Nexus Add-on,Latin America,950.00,36,34,4.0,0.039,69.40,Organic
2025-03-09,Aura Basic,Europe,3685.02,72,49,3.6,0.047,533.26,Direct
2025-03-10,Aura Pro,Europe,4451.65,25,26,4.5,0.014,380.35,Paid Search
2025-03-11,Aura Pro,Asia Pacific,7794.72,57,43,4.5,0.011,819.38,Direct
2025-03-12,Aura Basic,Latin America,2159.11,46,60,4.7,0.052,262.12,Direct
2025-03-13,Aura Enterprise,Asia Pacific,1025.73,2,63,4.3,0.047,145.90,Paid Search
2025-03-14,Aura Basic,Europe,4015.39,89,36,4.6,0.056999999999999995,517.63,Direct
2025-03-15,Aura Enterprise,North America,2835.32,5,33,4.8,0.04,266.60,Direct
2025-03-16,Aura Pro,Asia Pacific,4320.93,28,52,4.8,0.027,362.08,Direct
2025-03-17,Aura Pro,Asia Pacific,6870.24,43,23,3.7,0.014,882.06,Direct
2025-03-18,Aura Basic,Asia Pacific,2145.18,44,27,4.2,0.051000000000000004,161.31,Organic
2025-03-19,Aura Pro,Europe,8856.11,54,27,4.7,0.042,1090.94,Organic
2025-03-20,Nexus Add-on,Asia Pacific,1492.14,62,37,4.5,0.022,211.83,Partner
2025-03-21,Aura Basic,North America,702.58,13,45,4.9,0.07200000000000001,89.84,Direct
2025-03-22,Nexus Add-on,North America,2616.40,82,29,4.4,0.016,216.30,Organic
2025-03-23,Aura Pro,Latin America,10694.41,76,53,4.6,,1186.05,Direct
2025-03-24,Aura Basic,North America,2832.40,52,38,3.9,0.041999999999999996,341.59,Organic
2025-03-25,Aura Enterprise,Europe,5391.98,9,60,3.6,0.018,446.23,Paid Search
2025-03-26,Aura Basic,Latin America,3682.56,73,55,4.5,0.048,254.53,Paid Search
2025-03-27,Aura Enterprise,North America,3192.00,5,60,4.9,0.023,169.40,Organic
2025-03-28,Aura Pro,North America,13670.10,72,51,3.6,0.021,1738.40,Direct
2025-03-29,Aura Enterprise,Europe,2035.21,4,,3.9,0.032,278.42,Paid Search
2025-03-30,Aura Pro,North America,5883.89,36,57,4.5,0.034,387.63,Partner
2025-03-31,Aura Enterprise,Latin America,5745.31,10,,4.5,0.017,806.88,Paid Search
2025-04-01,Nexus Add-on,Asia Pacific,300.45,12,49,4.3,0.043,39.30,Partner
2025-04-02,Nexus Add-on,Europe,2465.89,94,23,4.4,0.03,149.38,Partner
2025-04-03,Nexus Add-on,Latin America,1754.56,75,64,3.6,0.047,198.59,Organic
2025-04-04,Aura Pro,Europe,1881.32,12,22,4.3,0.029,271.12,Organic
2025-04-05,Aura Basic,North America,836.62,15,52,4.5,0.053,85.73,Direct
2025-04-06,Aura Enterprise,Latin America,2302.82,5,45,4.5,0.027,145.34,Partner
2025-04-07,Aura Basic,Latin America,743.67,16,55,3.9,0.069,81.22,Direct
2025-04-08,Aura Enterprise,Asia Pacific,1965.96,4,35,4.6,0.034,112.21,Organic
2025-04-09,Nexus Add-on,Latin America,1775.80,70,26,3.6,0.03,144.89,Organic
2025-04-10,Aura Basic,Asia Pacific,2372.87,44,63,4.1,0.063,328.27,Partner
2025-04-11,Aura Enterprise,Latin America,2278.69,4,34,4.0,0.032,326.87,Paid Search
2025-04-12,Aura Pro,North America,6256.00,36,,4.7,0.017,695.38,Partner
2025-04-13,Aura Pro,Europe,3225.36,22,65,3.8,0.028,296.72,Direct
2025-04-14,Aura Pro,North America,8198.28,46,42,4.4,0.038,596.07,Organic
2025-04-15,Aura Basic,Asia Pacific,1912.69,42,34,4.3,,168.49,Partner
2025-04-16,Aura Basic,Europe,4309.83,85,65,4.5,0.055,218.30,Paid Search
2025-04-17,Nexus Add-on,Europe,2307.35,85,35,4.3,0.041,278.89,Partner
2025-04-18,Aura Pro,Asia Pacific,6517.00,48,18,4.0,0.017,632.68,Direct
2025-04-19,Aura Pro,Asia Pacific,9690.43,70,,3.7,0.035,1114.32,Organic
2025-04-20,Nexus Add-on,Asia Pacific,1773.75,68,47,4.7,0.034,92.13,Paid Search
2025-04-21,Aura Pro,Asia Pacific,14350.16,100,52,3.7,0.01,1520.61,Organic
2025-04-22,Aura Enterprise,Latin America,4760.72,9,35,3.6,,375.38,Paid Search
2025-04-23,Aura Basic,Europe,4220.42,89,60,3.9,0.041999999999999996,608.55,Direct
2025-04-24,Nexus Add-on,Asia Pacific,862.20,36,24,4.8,0.038,46.45,Partner
2025-04-25,Aura Enterprise,North America,2695.45,4,36,3.7,0.015,189.38,Paid Search
2025-04-26,Aura Pro,Europe,5175.55,32,60,4.3,0.031,665.91,Paid Search
2025-04-27,Aura Pro,North America,5960.53,33,37,4.7,0.046,502.06,Direct
2025-04-28,Aura Enterprise,Latin America,3100.17,6,27,4.2,0.017,276.36,Partner
2025-04-29,Aura Enterprise,North America,5254.85,9,28,3.6,0.039,409.10,Organic
2025-04-30,Nexus Add-on,Latin America,1160.86,44,42,4.5,0.046,77.15,Organic
2025-05-01,Aura Pro,Latin America,11394.60,78,56,4.1,0.032,1411.40,Organic
2025-05-02,Aura Pro,Latin America,10115.56,65,58,4.7,0.041,955.79,Organic
2025-05-03,Aura Pro,Asia Pacific,15786.31,95,29,3.7,0.038,1539.06,Paid Search
2025-05-04,Aura Basic,North America,1952.84,33,36,4.2,0.06,99.72,Partner
2025-05-05,Aura Pro,North America,15663.53,89,54,4.3,0.038,1869.73,Organic
2025-05-06,Nexus Add-on,Latin America,1600.38,59,42,4.2,0.021,150.06,Direct
2025-05-07,Aura Basic,Europe,2509.62,49,21,4.2,0.067,282.01,Paid Search
2025-05-08,Aura Enterprise,Asia Pacific,4403.20,9,60,4.6,0.039,548.29,Direct
2025-05-09,Aura Enterprise,Asia Pacific,4155.38,8,31,3.7,0.048,361.63,Partner
2025-05-10,Aura Pro,North America,10827.39,65,45,3.9,0.042,1286.67,Organic
2025-05-11,Aura Pro,Latin America,4577.47,31,24,3.7,0.015,586.25,Organic
2025-05-12,Aura Enterprise,Europe,2141.16,4,65,3.5,0.028,130.27,Paid Search
2025-05-13,Aura Basic,North America,3491.37,61,48,4.7,0.055999999999999994,313.61,Direct
2025-05-14,Aura Basic,Latin America,3303.12,67,33,4.7,0.066,381.75,Organic
2025-05-15,Aura Pro,Asia Pacific,7065.00,51,,3.9,0.038,702.19,Organic
2025-05-16,Aura Enterprise,Asia Pacific,3334.68,7,57,3.8,0.028,187.61,Partner
2025-05-17,Aura Pro,Latin America,6191.48,45,20,4.8,0.012,409.95,Direct
2025-05-18,Aura Basic,Europe,3240.98,61,33,3.6,0.051000000000000004,362.42,Partner
2025-05-19,Aura Basic,Latin America,750.16,14,52,4.0,0.074,96.93,Organic
2025-05-20,Aura Enterprise,Asia Pacific,2588.47,5,23,3.9,0.026,312.12,Partner
2025-05-21,Aura Basic,Latin America,3065.98,58,22,3.6,0.076,199.04,Paid Search
2025-05-22,Nexus Add-on,Latin America,2521.88,95,18,4.6,0.011,221.53,Partner
2025-05-23,Nexus Add-on,Europe,23055.96,84,40,3.7,0.013,220.64,Organic
2025-05-24,Aura Pro,Latin America,6090.45,42,,3.7,0.037,543.05,Partner
2025-05-25,Aura Enterprise,Asia Pacific,1551.14,3,32,4.7,0.011,123.87,Paid Search
2025-05-26,Aura Pro,Latin America,9021.24,66,34,4.4,0.017,522.80,Partner
2025-05-27,Aura Basic,North America,5437.09,81,65,3.6,0.051000000000000004,443.38,Paid Search
2025-05-28,Aura Basic,Europe,3755.13,73,21,4.8,0.045,446.20,Partner
2025-05-29,Aura Basic,Latin America,1326.32,28,63,3.6,0.07100000000000001,191.57,Partner
2025-05-30,Aura Enterprise,Asia Pacific,3352.94,7,28,4.6,0.012,252.78,Direct
2025-05-31,Aura Enterprise,Latin America,2971.12,5,22,4.6,0.019,432.25,Paid Search
2025-06-01,Aura Pro,Asia Pacific,11525.11,76,41,4.1,0.044,644.64,Paid Search
2025-06-02,Aura Pro,Asia Pacific,5812.50,40,40,4.5,0.029,607.86,Partner
2025-06-03,Nexus Add-on,Asia Pacific,1553.46,62,41,3.9,0.034,201.74,Paid Search
2025-06-04,Nexus Add-on,North America,785.34,27,46,3.6,0.036,94.76,Partner
2025-06-05,Aura Basic,Asia Pacific,1739.75,35,54,4.0,0.057999999999999996,183.23,Paid Search
2025-06-06,Nexus Add-on,Latin America,2298.84,78,40,4.0,0.035,169.07,Paid Search
2025-06-07,Aura Enterprise,Europe,543.64,1,,4.7,0.039,62.91,Direct
2025-06-08,Aura Pro,Latin America,3370.59,24,39,3.5,0.043,239.56,Organic
2025-06-09,Aura Enterprise,North America,6315.12,9,39,4.7,0.034,591.49,Paid Search
2025-06-10,Nexus Add-on,Latin America,2597.26,95,,4.9,0.025,342.92,Paid Search
2025-06-11,Aura Pro,North America,10027.38,53,32,4.8,0.032,969.62,Partner
2025-06-12,Nexus Add-on,Europe,609.18,23,64,4.6,0.016,64.30,Organic
2025-06-13,Nexus Add-on,North America,2055.53,67,29,3.5,0.014,185.14,Organic
2025-06-14,Nexus Add-on,North America,1181.06,43,35,4.6,0.05,66.73,Direct
2025-06-15,Aura Enterprise,North America,6474.62,9,18,4.8,0.035,423.35,Paid Search
2025-06-16,Aura Basic,Europe,1808.65,37,23,4.3,0.044,176.86,Organic
2025-06-17,Aura Basic,Europe,1556.70,30,65,4.9,0.078,150.32,Paid Search
2025-06-18,Nexus Add-on,North America,1078.30,37,,3.7,0.022,106.44,Partner
2025-06-19,Aura Pro,Latin America,14531.22,83,29,3.8,0.03,1459.25,Paid Search
2025-06-20,Aura Basic,Europe,5596.35,95,32,4.9,0.077,810.98,Paid Search
2025-06-21,Aura Enterprise,Latin America,486.77,1,53,3.9,0.019,31.11,Organic
2025-06-22,Aura Enterprise,Asia Pacific,2276.10,5,30,4.2,0.025,319.86,Partner
2025-06-23,Nexus Add-on,Asia Pacific,1775.31,65,60,4.3,0.033,256.83,Paid Search
2025-06-24,Aura Basic,Latin America,2600.76,56,40,3.8,0.074,341.68,Organic
2025-06-25,Aura Enterprise,Latin America,2493.69,5,26,4.9,0.037,303.01,Direct
2025-06-26,Aura Pro,Latin America,8713.77,61,50,4.2,0.017,912.95,Organic
2025-06-27,Nexus Add-on,Latin America,722.89,29,58,4.1,0.022,100.71,Paid Search
2025-06-28,Aura Basic,Europe,2239.00,42,23,3.7,0.077,250.92,Paid Search
2025-06-29,Aura Enterprise,Asia Pacific,3035.83,6,29,4.3,0.046,402.53,Paid Search
2025-06-30,Aura Pro,Europe,6150.10,40,30,4.4,0.03,892.99,Organic
2025-07-01,Nexus Add-on,Asia Pacific,728.03,29,55,3.9,0.035,99.74,Partner
2025-07-02,Nexus Add-on,Latin America,2396.43,93,42,4.8,0.038,265.68,Organic
2025-07-03,Aura Basic,Europe,3107.50,61,25,3.5,0.062,432.37,Organic
2025-07-04,Aura Enterprise,Europe,2787.55,6,34,3.6,0.016,146.52,Organic
2025-07-05,Aura Basic,North America,4122.19,69,49,4.4,0.055,252.24,Paid Search
2025-07-06,Aura Pro,North America,14337.26,82,40,3.5,0.035,1727.18,Direct
2025-07-07,Aura Pro,Asia Pacific,9330.47,57,46,3.6,0.04,1070.47,Partner
2025-07-08,Nexus Add-on,Latin America,2041.03,79,35,3.9,0.026,283.31,Paid Search
2025-07-09,Nexus Add-on,North America,988.46,30,26,4.9,0.049,144.72,Partner
2025-07-10,Aura Basic,Asia Pacific,1558.63,34,49,3.6,0.06,105.74,Partner
2025-07-11,Aura Basic,Asia Pacific,3757.18,80,40,4.9,0.065,221.75,Direct
2025-07-12,Aura Pro,Latin America,12468.10,87,47,3.6,0.028,918.08,Organic
2025-07-13,Aura Basic,Asia Pacific,3565.26,72,41,4.6,0.07200000000000001,261.27,Paid Search
2025-07-14,Aura Enterprise,North America,5200.72,9,65,5.0,0.05,669.34,Direct
2025-07-15,Aura Enterprise,Europe,462.40,1,22,4.1,0.012,35.48,Organic
2025-07-16,Aura Enterprise,Europe,458.71,1,21,4.1,0.035,51.22,Partner
2025-07-17,Aura Basic,Latin America,1127.47,23,44,4.0,0.069,85.60,Organic
2025-07-18,Aura Pro,Asia Pacific,8200.81,53,31,3.8,0.013,580.95,Partner
2025-07-19,Aura Pro,Latin America,13526.95,86,19,3.8,0.027,1726.34,Direct
